config,mode,T_kv,B,pipeline,n_runs,mean_ms,std_ms,min_ms,max_ms,median_ms,p5_ms,p95_ms,mean_tps,cv_pct
qwen25_05b,prefill,2048,1,P0,10,0.1009,0.0113,0.0954,0.1313,0.0965,0.0954,0.1313,20297324.1,11.2
qwen25_05b,prefill,2048,1,P1,10,0.3172,0.0118,0.306,0.3446,0.319,0.306,0.3446,6456494.3,3.72
qwen25_05b,prefill,2048,1,P5,10,0.3143,0.0101,0.3051,0.3345,0.3132,0.3051,0.3345,6516067.5,3.21
qwen25_05b,prefill,2048,2,P0,10,0.1551,0.0028,0.1528,0.1612,0.1539,0.1528,0.1612,26408768.5,1.78
qwen25_05b,prefill,2048,2,P1,10,0.3777,0.0145,0.3608,0.3999,0.378,0.3608,0.3999,10844585.6,3.84
qwen25_05b,prefill,2048,2,P5,10,0.3754,0.0145,0.3602,0.4005,0.3727,0.3602,0.4005,10911028.2,3.85
qwen25_05b,prefill,2048,4,P0,10,0.259,0.0039,0.2552,0.267,0.257,0.2552,0.267,31629343.6,1.5
qwen25_05b,prefill,2048,4,P1,10,0.4684,0.0101,0.4585,0.4883,0.4683,0.4585,0.4883,17489325.4,2.17
qwen25_05b,prefill,2048,4,P5,10,0.4715,0.0151,0.4581,0.4976,0.4704,0.4581,0.4976,17374337.2,3.2
qwen25_05b,prefill,2048,8,P0,10,0.4841,0.0027,0.48,0.4891,0.4844,0.48,0.4891,33844247.1,0.55
qwen25_05b,prefill,2048,8,P1,10,0.7048,0.0184,0.6836,0.7445,0.6991,0.6836,0.7445,23246311.0,2.61
qwen25_05b,prefill,2048,8,P5,10,0.6975,0.0127,0.68,0.7196,0.696,0.68,0.7196,23489605.7,1.81
qwen25_05b,prefill,2048,16,P0,10,0.9324,0.0043,0.9276,0.9415,0.9306,0.9276,0.9415,35143715.1,0.46
qwen25_05b,prefill,2048,16,P1,10,1.1489,0.0098,1.1416,1.1741,1.1473,1.1416,1.1741,28521194.2,0.85
qwen25_05b,prefill,2048,16,P5,10,1.1498,0.016,1.1397,1.1853,1.1418,1.1397,1.1853,28498869.4,1.39
qwen25_05b,prefill,2048,32,P0,10,1.8303,0.0038,1.8258,1.8382,1.8294,1.8258,1.8382,35806152.0,0.21
qwen25_05b,prefill,2048,32,P1,10,2.0741,0.0117,2.0667,2.1009,2.0694,2.0667,2.1009,31597319.3,0.56
qwen25_05b,prefill,2048,32,P5,10,2.0651,0.0205,2.033,2.0986,2.0675,2.033,2.0986,31735024.9,0.99
qwen25_05b,prefill,4096,1,P0,10,0.2681,0.0058,0.2615,0.2783,0.2698,0.2615,0.2783,15277881.4,2.16
qwen25_05b,prefill,4096,1,P1,10,0.4957,0.0202,0.4746,0.5217,0.5077,0.4746,0.5217,8263062.3,4.08
qwen25_05b,prefill,4096,1,P5,10,0.4866,0.0112,0.4713,0.5092,0.4891,0.4713,0.5092,8417591.5,2.29
